"Active","Aktiv"
"All","Alle"
"All locales","Alle Sprachen"
"All of the values below are scoped per store and per locale.","Alle Werte unten gelten jeweils pro Store und pro Sprache."
"All stores","Alle Stores"
"Back to Metrics","Zurück zu Metriken"
"Back to Product Values","Zurück zu den Produktwerten"
"Business score","Business-Score"
"Change","Änderung"
"Check only","Nur Prüfung"
"Copy now","Jetzt kopieren"
"Copy Scope","Scope kopieren"
"Create Metric","Metrik erstellen"
"Create Ranking Metric","Ranking-Metrik erstellen"
"Delete","Löschen"
"Each row is a snapshot of a metric's configuration AS OF that timestamp — not a before/after diff of the edit that triggered it. To see what a value was BEFORE a given change, look at the next OLDER row for that same metric, not the row itself.","Jede Zeile ist eine Momentaufnahme der Metrik-Konfiguration ZU diesem Zeitpunkt — kein Vorher-Nachher-Vergleich der auslösenden Änderung. Um zu sehen, was ein Wert VOR einer Änderung war, schau in die nächstältere Zeile derselben Metrik, nicht in die Zeile selbst."
"Edit","Bearbeiten"
"Edit Ranking Metric","Ranking-Metrik bearbeiten"
"Edit Ranking Metric: %name%","Ranking-Metrik bearbeiten: %name%"
"Empirical CDF — cumulative share of products at or below this value","Empirische Verteilungsfunktion — kumulierter Anteil der Produkte mit diesem Wert oder darunter"
"Every recorded metric config change, newest first","Jede erfasste Metrik-Konfigurationsänderung, neueste zuerst"
"Field","Feld"
"Formula","Formel"
"Inactive","Inaktiv"
"Kept in sync by Lock?","Durch Sperre synchron gehalten?"
"List of Ranking Metrics","Liste der Ranking-Metriken"
"Locale","Sprache"
"Lock (sync weight/setting daily)","Sperren (Gewicht/Einstellung täglich synchronisieren)"
"Locked since","Gesperrt seit"
"Locked — specificity-aware relevance weighting is off in code for this deployment.","Gesperrt — die spezifitätsbewusste Relevanzgewichtung ist für dieses Deployment im Code deaktiviert."
"Metric History","Metrik-Verlauf"
"No — one-off only","Nein — nur einmalig"
"Normalize active weights","Aktive Gewichte normalisieren"
"Product Ranking Values","Produkt-Rankingwerte"
"Ranking Formula Settings","Ranking-Formel-Einstellungen"
"Raw and Normalized Values per Product","Roh- und normalisierte Werte pro Produkt"
"Save","Speichern"
"Scope column shows how each metric is authored. Name and direction are global, always — not part of this column. ""Store"" (default): formula, active status and weight are authored once and fanned out to every real locale of the store automatically when saved, not a separate store-only value. ""Store + locale"": this metric genuinely differs per locale — formula, active status and weight are authored and stored independently per (store, locale); switch Locale above to see/edit a different one.","Die Spalte Scope zeigt, wie eine Metrik gepflegt wird. Name und Richtung sind immer global — nicht Teil dieser Spalte. ""Store"" (Standard): Formel, Aktiv-Status und Gewicht werden einmal gepflegt und beim Speichern automatisch auf jede reale Sprache des Stores verteilt, es ist kein separater rein storeweiter Wert. ""Store + Sprache"": diese Metrik unterscheidet sich tatsächlich je Sprache — Formel, Aktiv-Status und Gewicht werden pro (Store, Sprache) unabhängig gepflegt und gespeichert; wechsle oben die Sprache, um eine andere zu sehen oder zu bearbeiten."
"Score produced by the formula above, at that same value","Score, den die obige Formel bei genau diesem Wert erzeugt"
"Search Ranking Metrics","Suchranking-Metriken"
"Search Ranking Settings","Suchranking-Einstellungen"
"Source","Quelle"
"Source locale","Quellsprache"
"Source store","Quell-Store"
"Specificity-aware relevance weighting is OFF for this deployment. The 5 specificity fields below are locked (greyed out, read-only) and have no effect until it's turned on. You need to change code and deploy to turn this on (SearchRankingConfig::isSpecificityWeightingEnabled()) — it's deliberately not a Zed-editable setting, since enabling it makes every live catalog search fire an additional Elasticsearch probe. This has real consequences, so it's nothing to play around with — that's why it's code-only.","Die spezifitätsbewusste Relevanzgewichtung ist für dieses Deployment AUS. Die 5 Spezifitätsfelder unten sind gesperrt (ausgegraut, schreibgeschützt) und haben keine Wirkung, solange sie aus ist. Zum Aktivieren sind eine Code-Änderung und ein Deployment nötig (SearchRankingConfig::isSpecificityWeightingEnabled()) — bewusst keine in Zed editierbare Einstellung, denn aktiviert löst jede Live-Katalogsuche eine zusätzliche Elasticsearch-Abfrage aus. Das hat reale Konsequenzen und ist nichts zum Ausprobieren — deshalb nur im Code."
"Specificity-aware relevance weighting is ON for this deployment. The 5 specificity fields below are live and editable.","Die spezifitätsbewusste Relevanzgewichtung ist für dieses Deployment AN. Die 5 Spezifitätsfelder unten sind aktiv und editierbar."
"Store","Store"
"Target","Ziel"
"Target locale","Zielsprache"
"Target store","Ziel-Store"
"This will copy:","Kopiert wird:"
"Unlock","Entsperren"
"Value","Wert"
"View Gaps","Lücken anzeigen"
"View metric","Metrik ansehen"
"View Product Values","Produktwerte anzeigen"
"Weight","Gewicht"
"Yes","Ja"
